latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.2475,-3.7776,303.2,1,1,2022-01-01,0224,Aqua,MODIS,54,6.03,283.1,7.9,N,0
43.2201,-3.6591,302.6,1,1,2022-01-01,0224,Aqua,MODIS,50,6.03,281.4,8.2,N,0
43.4104,-5.01,312.9,1,1,2022-01-01,0224,Aqua,MODIS,86,6.03,285.6,14.6,N,0
43.4086,-4.9979,309.4,1,1,2022-01-01,0224,Aqua,MODIS,77,6.03,283.9,11.9,N,0
43.2009,-3.7151,309.2,1,1,2022-01-01,0224,Aqua,MODIS,77,6.03,282.5,12.1,N,0
43.1426,-4.3116,307,1,1,2022-01-01,0224,Aqua,MODIS,70,6.03,281.1,10.9,N,0
43.1047,-4.0576,308.2,1,1,2022-01-01,0224,Aqua,MODIS,74,6.03,282.7,11.5,N,0
43.2576,-3.7182,306.2,1,1,2022-01-01,0224,Aqua,MODIS,67,6.03,283.9,9.7,N,0
43.2913,-4.0001,307.7,1,1,2022-01-01,0224,Aqua,MODIS,72,6.03,279.6,11.4,N,0
43.2493,-3.7896,307.8,1,1,2022-01-01,0224,Aqua,MODIS,73,6.03,283.3,10.6,N,0
43.1357,-6.3959,301.4,1.5,1.2,2022-01-01,1142,Terra,MODIS,47,6.03,285.2,11.5,D,0
43.1388,-6.469,302.3,1.5,1.2,2022-01-01,1142,Terra,MODIS,43,6.03,277.3,11.5,D,0
43.1283,-6.4725,302.9,1.5,1.2,2022-01-01,1142,Terra,MODIS,45,6.03,278.4,12.3,D,0
43.1516,-6.6479,304.3,1.4,1.2,2022-01-01,1142,Terra,MODIS,59,6.03,278.6,14.8,D,0
43.1268,-6.1049,304.8,1.5,1.2,2022-01-01,1142,Terra,MODIS,56,6.03,285.5,14.6,D,0
43.1978,-6.3476,300.3,1.5,1.2,2022-01-01,1142,Terra,MODIS,19,6.03,281.7,9,D,0
43.2051,-6.3276,306.3,1.5,1.2,2022-01-01,1142,Terra,MODIS,63,6.03,280.7,15.3,D,0
38.8045,-6.8206,303.1,1,1,2022-01-01,1330,Aqua,MODIS,55,6.03,286,6.1,D,0
38.8027,-6.8324,306.8,1,1,2022-01-01,1330,Aqua,MODIS,64,6.03,287.3,8.4,D,0
43.0808,-1.6473,315,1.4,1.2,2022-01-01,1331,Aqua,MODIS,75,6.03,284,23.2,D,0
43.5242,-5.7326,302.3,1,1,2022-01-01,1331,Aqua,MODIS,48,6.03,282.2,6.7,D,2
28.6201,-17.8915,307.4,2.5,1.5,2022-01-01,2245,Terra,MODIS,54,6.03,297.2,37.4,N,2
43.2972,-6.321,313.9,2.2,1.4,2022-01-02,0307,Aqua,MODIS,84,6.03,277.8,49.6,N,0
43.3586,-6.4127,316.4,2.1,1.4,2022-01-02,0307,Aqua,MODIS,91,6.03,276.9,55.8,N,0
43.2089,-3.7399,313.8,1.5,1.2,2022-01-02,1047,Terra,MODIS,74,6.03,285,24.4,D,0
43.1749,-3.7269,302.3,1.5,1.2,2022-01-02,1047,Terra,MODIS,52,6.03,286.7,11.1,D,0
43.2566,-5.8262,302.9,1.9,1.4,2022-01-02,1047,Terra,MODIS,54,6.03,279.1,19.8,D,0
43.2817,-3.89,305.7,1.5,1.2,2022-01-02,1047,Terra,MODIS,62,6.03,279,16.3,D,0
43.2118,-3.7324,318.8,1.5,1.2,2022-01-02,1047,Terra,MODIS,79,6.03,284.7,30.7,D,0
38.0664,-1.2546,300.3,1,1,2022-01-02,1048,Terra,MODIS,34,6.03,282.4,4.5,D,2
28.615,-17.8762,317.2,3,1.6,2022-01-02,1229,Terra,MODIS,56,6.03,307,63.8,D,2
43.0904,-5.7245,315.6,1.5,1.2,2022-01-02,2154,Terra,MODIS,92,6.03,274.7,32,N,0
28.6055,-17.9176,313.2,1.2,1.1,2022-01-02,2328,Terra,MODIS,22,6.03,299.2,15.6,N,2
28.6192,-17.8854,314.1,1.2,1.1,2022-01-02,2328,Terra,MODIS,42,6.03,300,16.8,N,2
43.0707,-5.8602,304.1,1.1,1.1,2022-01-03,1130,Terra,MODIS,58,6.03,279.8,10.1,D,0
43.5287,-5.7276,302,1.1,1.1,2022-01-03,1130,Terra,MODIS,50,6.03,273.4,8.1,D,2
43.1467,-5.1631,304.2,1.2,1.1,2022-01-03,1130,Terra,MODIS,58,6.03,276.1,11.4,D,0
43.2522,-5.8305,320.5,1.1,1.1,2022-01-03,1130,Terra,MODIS,80,6.03,286.1,24.2,D,0
