latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.1717,-6.3778,322.3,1.1,1,2020-01-01,0242,Aqua,MODIS,100,6.03,276.9,28.9,N,0
43.2003,-4.2303,316.5,1.7,1.3,2020-01-01,1348,Aqua,MODIS,77,6.03,273.1,42.1,D,0
43.1186,-3.8166,315.3,1,1,2020-01-02,1111,Terra,MODIS,76,6.03,281.4,17,D,0
43.128,-3.8204,301.3,1,1,2020-01-02,1111,Terra,MODIS,33,6.03,281,6.2,D,0
39.1699,-2.1818,302.4,1.1,1,2020-01-02,1112,Terra,MODIS,49,6.03,282.4,7.9,D,0
39.109,-1.984,301.7,1.1,1,2020-01-02,1112,Terra,MODIS,48,6.03,281.5,7.6,D,0
39.1069,-1.9719,305.6,1.1,1,2020-01-02,1112,Terra,MODIS,62,6.03,281.8,10.1,D,0
40.2334,-0.8744,301.2,1.1,1.1,2020-01-02,1112,Terra,MODIS,46,6.03,284,7.3,D,0
39.1058,-2.0229,303.7,1.1,1,2020-01-02,1112,Terra,MODIS,57,6.03,281.2,8.4,D,0
40.2312,-0.8613,311.6,1.1,1.1,2020-01-02,1112,Terra,MODIS,72,6.03,283.3,15.3,D,0
40.2327,-0.8717,300.3,1.3,1.1,2020-01-02,1252,Aqua,MODIS,35,6.03,287.4,7.7,D,0
37.5587,-5.1112,301,1.1,1,2020-01-05,1322,Aqua,MODIS,44,6.03,289.5,4.2,D,0
37.5493,-5.1706,303.2,1.1,1,2020-01-05,1322,Aqua,MODIS,55,6.03,289.9,5.4,D,0
37.7127,-4.8933,303.2,1,1,2020-01-05,1322,Aqua,MODIS,55,6.03,287.3,6.2,D,0
37.6396,-4.5974,301.3,1,1,2020-01-05,1322,Aqua,MODIS,46,6.03,286.9,5,D,0
39.3254,-5.3613,308.2,1,1,2020-01-05,1323,Aqua,MODIS,63,6.03,286,9.7,D,0
39.3344,-5.3638,332.8,1,1,2020-01-05,1323,Aqua,MODIS,83,6.03,286.2,34.2,D,0
39.8772,-5.6853,306.6,1.1,1,2020-01-05,1323,Aqua,MODIS,48,6.03,285.5,8.7,D,0
39.3273,-5.3493,322.7,1,1,2020-01-05,1323,Aqua,MODIS,77,6.03,286.4,22.9,D,0
43.0711,-6.486,313.7,1,1,2020-01-07,1130,Terra,MODIS,74,6.03,289,14.7,D,0
43.073,-6.4982,305.9,1,1,2020-01-07,1130,Terra,MODIS,61,6.03,289.9,9.2,D,0
37.6837,-1.1855,303.2,1,1,2020-01-07,1310,Aqua,MODIS,55,6.03,288.5,4.9,D,0
38.2526,-1.6921,303.3,1,1,2020-01-07,1310,Aqua,MODIS,55,6.03,288.4,6.2,D,0
38.5909,-1.0566,303.5,1,1,2020-01-07,1310,Aqua,MODIS,56,6.03,289.3,5.4,D,0
38.722,-0.7296,303.1,1,1,2020-01-07,1310,Aqua,MODIS,55,6.03,287.6,5.8,D,0
38.8749,-2.0411,305,1,1,2020-01-07,1310,Aqua,MODIS,60,6.03,289,7.2,D,0
38.9498,-2.0909,304.9,1,1,2020-01-07,1310,Aqua,MODIS,60,6.03,287.9,7.2,D,0
39.0004,-2.1232,305.8,1,1,2020-01-07,1310,Aqua,MODIS,62,6.03,289.5,7.2,D,0
37.1925,-3.7272,301.2,1.2,1.1,2020-01-07,1310,Aqua,MODIS,46,6.03,288.4,6.3,D,2
39.6511,-2.811,314.6,1.1,1,2020-01-07,1311,Aqua,MODIS,71,6.03,286.7,14.4,D,0
39.3617,-2.4801,305.6,1.1,1,2020-01-07,1311,Aqua,MODIS,62,6.03,285.1,8.3,D,0
39.4174,-2.4129,310.7,1.1,1,2020-01-07,1311,Aqua,MODIS,65,6.03,287.2,10.1,D,0
39.4245,-2.4272,323.2,1.1,1,2020-01-07,1311,Aqua,MODIS,78,6.03,287.3,22.5,D,0
39.6338,-2.0988,312.9,1,1,2020-01-07,1311,Aqua,MODIS,67,6.03,288.3,12,D,0
39.6602,-2.8135,306.2,1.1,1,2020-01-07,1311,Aqua,MODIS,56,6.03,286.9,7.8,D,0
39.908,-2.8229,336.9,1.1,1,2020-01-07,1311,Aqua,MODIS,85,6.03,288.9,42.5,D,0
39.9151,-2.8377,300.6,1.1,1,2020-01-07,1311,Aqua,MODIS,15,6.03,289,4.1,D,0
43.0673,-6.5032,306.3,1.3,1.1,2020-01-07,1312,Aqua,MODIS,63,6.03,288.5,13.8,D,0
43.0814,-4.3849,312.7,1.1,1,2020-01-07,1312,Aqua,MODIS,73,6.03,285.9,16.2,D,0
37.2283,-3.6488,300.1,2,1.4,2020-01-08,1353,Aqua,MODIS,28,6.03,288.5,10.5,D,2
40.1698,-5.6148,306.9,1.6,1.3,2020-01-08,1354,Aqua,MODIS,64,6.03,286.7,15,D,0
40.1716,-5.6092,301.2,1.6,1.3,2020-01-08,1354,Aqua,MODIS,45,6.03,285.8,9.4,D,0
40.1697,-5.6284,302.4,1.6,1.3,2020-01-08,1354,Aqua,MODIS,52,6.03,286.5,10.7,D,0
42.2934,-6.7123,313.4,1.5,1.2,2020-01-08,1354,Aqua,MODIS,74,6.03,285.6,24.7,D,0
43.5245,-5.7306,305.4,1.8,1.3,2020-01-08,1355,Aqua,MODIS,61,6.03,281.3,18.2,D,2
41.1825,1.2223,303,1.2,1.1,2020-01-08,2141,Terra,MODIS,53,6.03,278.6,12.9,N,2
40.2106,-5.8674,303.9,1,1,2020-01-09,1118,Terra,MODIS,57,6.03,282.1,7,D,0
43.5426,-5.8305,322.6,1,1,2020-01-09,1118,Terra,MODIS,82,6.03,288.2,23,D,2
